System,IP,Admin Account Password,Custom Admin Password,Password chng,Account Creation
Windows 1,,,,FALSE,FALSE
Windows 2,,,,FALSE,FALSE
Windows 3,,,,FALSE,FALSE
Windows 4,,,,FALSE,FALSE
Windows 5,,,,FALSE,FALSE
Windows 6,,,,FALSE,FALSE
Windows 7,,,,FALSE,FALSE
Windows 8,,,,FALSE,FALSE
Windows 9,,,,FALSE,FALSE
Windows 10,,,,FALSE,FALSE
Windows 11,,,,FALSE,FALSE
Windows 12,,,,FALSE,FALSE
Windows 13,,,,FALSE,FALSE
Windows 14,,,,FALSE,FALSE
Windows 15,,,,FALSE,FALSE
Windows 16,,,,FALSE,FALSE
Windows 17,,,,FALSE,FALSE
Windows 18,,,,FALSE,FALSE
Windows 19,,,,FALSE,FALSE
Windows 20,,,,FALSE,FALSE
,,,,,
Service,IP,Account User,Account Passwords,Password chng,